f_Hz_Median,ICI,num_Clicks,var_RI
 6624.00,  0.2984009, 18,  0.0000099
 6608.00,  0.4965820, 12,  0.0000139
 7128.00,  0.4047546, 11,  0.0000139
 6632.00,  0.2062988, 12,  0.0000139
 5920.00,  0.4815674, 8,  0.0000139
 6368.00,  0.2073364, 8,  0.0000099
 6208.00,  0.1054077, 8,  0.0000099
 6616.00,  0.3554077, 9,  0.0000099
 7088.00,  0.3170166, 8,  0.0000099
 6320.00,  0.5210266, 13,  0.0000137
 6616.00,  0.3706665, 18,  0.0000137
 6616.00,  0.2325439, 8,  0.0000098
 6824.00,  0.1623535, 12,  0.0000098
 6616.00,  0.0679321, 8,  0.0000098
 6608.00,  0.2880554, 15,  0.0000099
 4120.00,  0.1170044, 8,  0.0000138
 6616.00,  0.3812866, 15,  0.0000138
 6216.00,  0.2069092, 12,  0.0000138
 6624.00,  0.2430420, 29,  0.0000138
 6616.00,  0.4224243, 9,  0.0000138
 6608.00,  0.2649536, 8,  0.0000092
 5680.00,  0.3697510, 10,  0.0000132
 6616.00,  0.1729126, 30,  0.0000092
 6608.00,  0.4985046, 9,  0.0000091
 6240.00,  0.3883667, 9,  0.0000131
 6256.00,  0.3901367, 13,  0.0000131
 6616.00,  0.0563354, 12,  0.0000093
 6616.00,  0.1796875, 33,  0.0000132
 6616.00,  0.1022949, 125,  0.0000132
 5896.00,  0.6488953, 9,  0.0000096
 6616.00,  0.0936890, 9,  0.0000135
 6608.00,  0.5496826, 8,  0.0000102
 6496.00,  0.3904419, 10,  0.0000100
 6616.00,  0.3494263, 8,  0.0000100
 6728.00,  0.3107300, 22,  0.0000097
 5976.00,  0.1240234, 10,  0.0000136
 5872.00,  0.1635742, 10,  0.0000136
 6616.00,  0.8345337, 10,  0.0000093
 6128.00,  0.2073059, 15,  0.0000091
 6608.00,  0.1353760, 10,  0.0000091
 5792.00,  0.0667725, 12,  0.0000091
 5736.00,  0.1655273, 19,  0.0000091
 5760.00,  0.2581787, 10,  0.0000130
 5912.00,  0.0449829, 1371,  0.0000093
 6608.00,  0.1489868, 28,  0.0000093
 6632.00,  0.1597290, 44,  0.0000092
 6464.00,  0.0943604, 8,  0.0000091
 6888.00,  0.0381775, 13,  0.0000086
 6664.00,  0.0779419, 8,  0.0000086
 6888.00,  0.1929626, 15,  0.0000088
 6688.00,  0.1408691, 20,  0.0000128
 6616.00,  0.1358032, 43,  0.0000128
 4376.00,  0.0863647, 21,  0.0000478
 6304.00,  0.1598511, 17,  0.0000132
 5744.00,  0.1095581, 24,  0.0000132
 6312.00,  0.1591797, 8,  0.0000095
 6104.00,  0.0332031, 8,  0.0000095
 5600.00,  0.1449585, 12,  0.0000132
 6616.00,  0.1103516, 34,  0.0000132
 5608.00,  0.1876221, 18,  0.0000133
 6608.00,  0.1647339, 24,  0.0000133
